ID_transcript	relative_PTC_position_in_exon
ENST00000335137.3	0.0
ENST00000426406.1	0.03722334004024145
ENST00000594233.1	0.0
ENST00000455979.1	0.1889483065953654
ENST00000341065.4	0.6326836581709145
ENST00000342066.3	0.6326836581709145
ENST00000466300.1	0.7065868263473054
ENST00000338591.3	0.6968085106382979
ENST00000491024.1	0.08904109589041095
ENST00000379407.3	0.765017667844523
ENST00000379409.2	0.765017667844523
ENST00000379410.3	0.8003003003003003
ENST00000379389.4	0.11151079136690648
ENST00000379370.2	0.878482972136223
ENST00000379288.3	0.8067039106145252
ENST00000486379.1	0.39215686274509803
ENST00000379289.1	0.17373737373737375
ENST00000379290.1	0.17706237424547283
ENST00000379198.2	0.6350286532951289
ENST00000379101.4	0.18357487922705315
ENST00000379116.5	0.534640522875817
ENST00000325425.8	0.5376623376623376
ENST00000338555.2	0.5376623376623376
ENST00000400928.3	0.5406451612903226
ENST00000379031.5	0.8587896253602305
ENST00000343938.4	0.6847826086956522
ENST00000339381.5	0.4677777777777778
ENST00000447725.2	0.5403726708074534
ENST00000444362.1	0.0896551724137931
ENST00000570344.1	0.6139896373056994
ENST00000576232.1	0.7066666666666667
ENST00000448629.2	0.7323651452282157
ENST00000378821.3	0.0
ENST00000338660.5	0.25308641975308643
ENST00000404702.3	0.8142594054196264
ENST00000476993.1	0.8142594054196264
ENST00000378785.2	0.9177001127395716
ENST00000378741.3	0.0
ENST00000308647.7	0.5369595536959554
ENST00000339113.4	0.8076416337285902
ENST00000378755.5	0.8076416337285902
ENST00000378756.3	0.8076416337285902
ENST00000536055.1	0.8081471747700394
ENST00000366221.2	0.7013752455795678
ENST00000502470.1	0.8421052631578947
ENST00000489635.1	0.9056603773584906
ENST00000514363.1	0.9056603773584906
ENST00000486072.1	0.7777777777777778
ENST00000506488.1	0.41081081081081083
ENST00000487053.1	0.9102564102564102
ENST00000483015.1	0.19865319865319866
ENST00000378708.1	0.23717948717948717
ENST00000378712.1	0.9711538461538461
ENST00000504599.1	0.23717948717948717
ENST00000514234.1	0.23717948717948717
ENST00000505820.2	0.23961661341853036
ENST00000518681.1	0.23961661341853036
ENST00000520777.1	0.23961661341853036
ENST00000357210.4	0.25157232704402516
ENST00000360522.4	0.25157232704402516
ENST00000378710.3	0.25157232704402516
ENST00000355826.5	0.25157232704402516
ENST00000472264.1	0.0
ENST00000512731.1	0.6827661909989023
ENST00000435358.1	0.18803418803418803
ENST00000503792.1	0.18803418803418803
ENST00000479814.1	0.525
ENST00000356026.5	0.14285714285714285
ENST00000378675.3	0.5320197044334976
ENST00000490017.1	0.48059701492537316
ENST00000307786.3	0.6870748299319728
ENST00000378604.3	0.6870748299319728
ENST00000378585.4	0.6116883116883117
ENST00000481140.1	0.047058823529411764
ENST00000478770.2	0.6463414634146342
ENST00000461106.2	0.6753731343283582
ENST00000400921.2	0.8141025641025641
ENST00000400920.1	0.8152866242038217
ENST00000378567.3	0.8160676532769556
ENST00000597060.1	0.5906282183316169
ENST00000378536.4	0.9469226425748165
ENST00000378512.1	0.19183673469387755
ENST00000378518.1	0.2542372881355932
ENST00000378513.3	0.34814814814814815
ENST00000488353.1	0.5082872928176796
ENST00000605895.1	0.9630552096305521
ENST00000288766.5	0.0
ENST00000449969.1	0.9947616553169198
ENST00000278878.6	0.0465288035450517
ENST00000378486.3	0.19463505926388022
ENST00000378488.3	0.19463505926388022
ENST00000419816.2	0.19463505926388022
ENST00000409119.1	0.8660714285714286
ENST00000355716.4	0.8164464023494861
ENST00000537325.1	0.9683426443202979
ENST00000378425.5	0.9917194349732099
ENST00000378427.1	0.9980516317584024
ENST00000444521.2	0.9917355371900827
ENST00000378424.4	0.9980554205153136
ENST00000419916.2	0.9917395529640428
ENST00000378404.2	0.05708245243128964
ENST00000463591.1	0.9173553719008265
ENST00000509860.1	0.7824675324675324
ENST00000511072.1	0.9819548872180451
ENST00000514189.1	0.9819548872180451
ENST00000378398.3	0.9728854714690409
ENST00000441472.2	0.9728854714690409
ENST00000270722.5	0.9728964401294499
ENST00000378391.2	0.9543568464730291
ENST00000442529.2	0.9842374616171955
ENST00000413250.2	0.6212534059945504
ENST00000378371.2	0.7909774436090226
ENST00000378373.1	0.7909774436090226
ENST00000378378.4	0.7909774436090226
ENST00000344579.5	0.8870779976717112
ENST00000378344.2	0.8870779976717112
ENST00000378280.1	0.010752688172043012
ENST00000603362.1	0.0
ENST00000604479.1	0.0
ENST00000378290.4	0.03488372093023256
ENST00000354437.4	0.9724770642201835
ENST00000378285.1	0.9724770642201835
ENST00000346387.4	0.71280276816609
ENST00000357733.3	0.71280276816609
ENST00000378288.4	0.9038795599305154
ENST00000378295.4	0.9038795599305154
ENST00000604074.1	0.9956572090330053
ENST00000462521.2	0.6014492753623188
ENST00000294600.2	0.49794238683127573
ENST00000561886.1	0.49326145552560646
ENST00000444870.2	0.32620320855614976
ENST00000341385.3	0.0
ENST00000477548.1	0.18604651162790697
ENST00000378212.2	0.0
ENST00000339350.3	0.6946778711484594
ENST00000378206.1	0.9957983193277311
ENST00000468793.1	0.5531914893617021
ENST00000475969.1	0.5531914893617021
ENST00000338895.3	0.0
ENST00000491998.1	0.7560975609756098
ENST00000461150.1	0.20136518771331058
ENST00000378209.3	0.8782518210197711
ENST00000378190.3	0.45038167938931295
ENST00000378191.4	0.45038167938931295
ENST00000462676.2	0.5040128410914928
ENST00000472700.2	0.23529411764705882
ENST00000602612.1	0.7972136222910217
ENST00000378092.1	0.0
ENST00000458166.2	0.7594594594594595
ENST00000341524.1	0.955005055611729
ENST00000352527.1	0.955005055611729
ENST00000164247.1	0.9669636228656273
ENST00000378083.3	0.9669636228656273
ENST00000378097.1	0.9671344165435746
ENST00000378111.1	0.4460227272727273
ENST00000378087.3	0.0
ENST00000377948.2	0.06989247311827956
ENST00000377939.4	0.9171110033931168
ENST00000377898.3	0.1517094017094017
ENST00000461727.1	0.8419354838709677
ENST00000416731.1	0.8444444444444444
ENST00000377828.1	0.8444444444444444
ENST00000434576.1	0.9736842105263158
